x,y,z,id
-2.11305,0.703463,0,1
-2.11305,0.703463,0,1
-2.04,2.2464,0,1
-2.04,2.2464,0,1
-2.03841,2.24015,-0.081,1
-2.03841,2.24015,0.081,1
-2.03409,2.223187,-0.144,1
-2.03409,2.223187,0.144,1
-2.02773,2.198189,-0.189,1
-2.02773,2.198189,0.189,1
-2.02001,2.167834,0.216,1
-2.02001,2.167834,-0.216,1
-2.0116,2.1348,0.225,1
-2.0116,2.1348,-0.225,1
-2.00319,2.101766,0.216,1
-2.00319,2.101766,-0.216,1
-2,0.9,0,1
-2,0.9,0,1
-2,0.9,0,1
-1.9972,0.8916,0.081,1
-1.9972,0.8916,-0.081,1
-1.99547,2.071411,-0.189,1
-1.99547,2.071411,0.189,1
-1.99275,1.037175,0,1
-1.99275,1.037175,0,1
-1.9896,0.8688,0.144,1
-1.9896,0.8688,-0.144,1
-1.98911,2.046413,0.144,1
-1.98911,2.046413,-0.144,1
-1.986,0.771675,0,1
-1.986,0.771675,0,1
-1.98479,2.02945,-0.081,1
-1.98479,2.02945,0.081,1
-1.9832,2.0232,0,1
-1.9832,2.0232,0,1
-1.9784,0.8352,0.189,1
-1.9784,0.8352,-0.189,1
-1.97424,0.9,-0.32816,1
-1.97424,0.9,-0.32816,1
-1.97424,0.9,0.32816,1
-1.972,1.1784,0,1
-1.972,1.1784,0,1
-1.96708,1.037175,-0.32697,1
-1.96708,1.037175,0.32697,1
-1.9648,0.7944,0.216,1
-1.9648,0.7944,-0.216,1
-1.96042,0.771675,-0.32586,1
-1.96042,0.771675,0.325863,1
-1.95,0.75,-0.225,1
-1.95,0.75,0.225,1
-1.948,0.6564,0,1
-1.948,0.6564,0,1
-1.9466,1.1784,-0.32356,1
-1.9466,1.1784,0.323566,1
-1.93925,1.323225,0,1
-1.93925,1.323225,0,1
-1.9352,0.7056,0.216,1
-1.9352,0.7056,-0.216,1
-1.92291,0.6564,-0.31962,1
-1.92291,0.6564,0.319628,1
-1.9216,0.6648,0.189,1
-1.9216,0.6648,-0.189,1
-1.91427,1.323225,-0.31819,1
-1.91427,1.323225,0.318192,1
-1.9104,0.6312,0.144,1
-1.9104,0.6312,-0.144,1
-1.9028,0.6084,0.081,1
-1.9028,0.6084,-0.081,1
-1.9,0.6,0,1
-1.9,0.6,0,1
-1.89952,0.9,-0.63808,1
-1.89952,0.9,-0.63808,1
-1.89952,0.9,0.63808,1
-1.89952,0.9,0.63808,1
-1.896,1.4712,0,1
-1.896,1.4712,0,1
-1.89263,1.037175,-0.63576,1
-1.89263,1.037175,0.635767,1
-1.892,0.553725,0,1
-1.892,0.553725,0,1
-1.88622,0.771675,-0.63361,1
-1.88622,0.771675,0.633613,1
-1.87293,1.1784,-0.62914,1
-1.87293,1.1784,0.629147,1
-1.87158,1.4712,-0.31109,1
-1.87158,1.4712,0.311096,1
-1.86763,0.553725,-0.31043,1
-1.86763,0.553725,0.310439,1
-1.85013,0.6564,-0.62149,1
-1.85013,0.6564,0.62149,1
-1.84375,1.621875,0,1
-1.84375,1.621875,0,1
