x,y,z
363,364,392
363,392,391
364,365,393
364,393,392
365,338,366
365,366,393
366,367,395
366,395,394
367,368,396
367,396,395
368,369,397
368,397,396
369,370,398
369,398,397
370,371,399
370,399,398
371,372,400
371,400,399
372,373,401
372,401,400
373,374,402
373,402,401
374,375,403
374,403,402
375,376,404
375,404,403
376,377,405
376,405,404
377,378,406
377,406,405
378,379,407
378,407,406
379,380,408
379,408,407
380,381,409
380,409,408
381,382,410
381,410,409
382,383,411
382,411,410
383,384,412
383,412,411
384,385,413
384,413,412
385,386,414
385,414,413
386,387,415
386,415,414
387,388,416
387,416,415
388,389,417
388,417,416
389,390,418
389,418,417
390,391,419
390,419,418
391,392,420
391,420,419
392,393,421
392,421,420
393,366,394
393,394,421
394,395,423
394,423,422
395,396,424
395,424,423
396,397,425
396,425,424
397,398,426
397,426,425
398,399,427
398,427,426
399,400,428
399,428,427
400,401,429
400,429,428
401,402,430
401,430,429
402,403,431
402,431,430
403,404,432
403,432,431
404,405,433
404,433,432
405,406,434
405,434,433
406,407,435
406,435,434
407,408,436
407,436,435
408,409,437
408,437,436
409,410,438
409,438,437
410,411,439
410,439,438
411,412,440
411,440,439
412,413,441
412,441,440
413,414,442
413,442,441
414,415,443
414,443,442
415,416,444
415,444,443
416,417,445
416,445,444
417,418,446
417,446,445
418,419,447
418,447,446
419,420,448
419,448,447
420,421,449
420,449,448
421,394,422
421,422,449
422,423,451
422,451,450
423,424,452
423,452,451
424,425,453
424,453,452
425,426,454
425,454,453
426,427,455
426,455,454
427,428,456
427,456,455
428,429,457
428,457,456
429,430,458
429,458,457
430,431,459
430,459,458
431,432,460
431,460,459
432,433,461
432,461,460
433,434,462
433,462,461
434,435,463
434,463,462
435,436,464
435,464,463
436,437,465
436,465,464
437,438,466
437,466,465
438,439,467
438,467,466
439,440,468
439,468,467
440,441,469
440,469,468
441,442,470
441,470,469
442,443,471
442,471,470
443,444,472
443,472,471
444,445,473
444,473,472
445,446,474
445,474,473
446,447,475
446,475,474
447,448,476
447,476,475
448,449,477
448,477,476
449,422,450
449,450,477
479,482,481
480,505,506
481,482,506
481,506,505
479,483,482
480,506,507
482,483,507
482,507,506
479,484,483
480,507,508
483,484,508
483,508,507
479,485,484
480,508,509
484,485,509
484,509,508
479,486,485
480,509,510
485,486,510
485,510,509
479,487,486
480,510,511
486,487,511
486,511,510
479,488,487
480,511,512
487,488,512
487,512,511
479,489,488
480,512,513
488,489,513
488,513,512
479,490,489
480,513,514
489,490,514
489,514,513
479,491,490
480,514,515
490,491,515
490,515,514
479,492,491
480,515,516
491,492,516
491,516,515
479,493,492
480,516,517
492,493,517
492,517,516
479,494,493
480,517,518
493,494,518
493,518,517
479,495,494
480,518,519
494,495,519
494,519,518
479,496,495
480,519,520
495,496,520
495,520,519
479,497,496
480,520,521
496,497,521
496,521,520
479,498,497
480,521,522
497,498,522
497,522,521
479,499,498
480,522,523
498,499,523
498,523,522
479,500,499
480,523,524
499,500,524
499,524,523
479,501,500
480,524,525
500,501,525
500,525,524
479,502,501
480,525,526
501,502,526
501,526,525
479,503,502
480,526,527
502,503,527
502,527,526
479,504,503
480,527,528
503,504,528
503,528,527
479,481,504
480,528,505
504,481,505
504,505,528
529,531,530
614,602,603
529,532,531
614,603,604
529,533,532
614,604,605
529,534,533
614,605,606
529,535,534
614,606,607
529,536,535
614,607,608
529,537,536
614,608,609
529,538,537
614,609,610
529,539,538
614,610,611
529,540,539
614,611,612
529,541,540
614,612,613
529,530,541
614,613,602
530,531,543
530,543,542
531,532,544
531,544,543
532,533,545
532,545,544
533,534,546
533,546,545
534,535,547
534,547,546
535,536,548
535,548,547
536,537,549
536,549,548
537,538,550
537,550,549
538,539,551
538,551,550
539,540,552
539,552,551
540,541,553
540,553,552
541,530,542
541,542,553
542,543,555
542,555,554
543,544,556
543,556,555
544,545,557
544,557,556
545,546,558
545,558,557
546,547,559
546,559,558
547,548,560
547,560,559
548,549,561
548,561,560
549,550,562
549,562,561
550,551,563
550,563,562
551,552,564
551,564,563
552,553,565
552,565,564
553,542,554
553,554,565
554,555,567
554,567,566
555,556,568
555,568,567
556,557,569
556,569,568
557,558,570
557,570,569
558,559,571
558,571,570
559,560,572
559,572,571
560,561,573
560,573,572
561,562,574
561,574,573
562,563,575
562,575,574
563,564,576
563,576,575
564,565,577
564,577,576
565,554,566
565,566,577
566,567,579
566,579,578
567,568,580
567,580,579
568,569,581
568,581,580
569,570,582
569,582,581
570,571,583
570,583,582
571,572,584
571,584,583
572,573,585
572,585,584
573,574,586
573,586,585
574,575,587
574,587,586
575,576,588
575,588,587
576,577,589
576,589,588
577,566,578
577,578,589
578,579,591
578,591,590
579,580,592
579,592,591
580,581,593
580,593,592
581,582,594
581,594,593
582,583,595
582,595,594
583,584,596
583,596,595
584,585,597
584,597,596
585,586,598
585,598,597
586,587,599
586,599,598
587,588,600
587,600,599
588,589,601
588,601,600
589,578,590
589,590,601
590,591,603
590,603,602
591,592,604
591,604,603
592,593,605
592,605,604
593,594,606
593,606,605
594,595,607
594,607,606
595,596,608
595,608,607
596,597,609
596,609,608
597,598,610
597,610,609
598,599,611
598,611,610
599,600,612
599,612,611
600,601,613
600,613,612
601,590,602
601,602,613
615,617,616
700,688,689
615,618,617
700,689,690
615,619,618
700,690,691
615,620,619
700,691,692
615,621,620
700,692,693
615,622,621
700,693,694
615,623,622
700,694,695
615,624,623
700,695,696
615,625,624
700,696,697
615,626,625
700,697,698
615,627,626
700,698,699
615,616,627
700,699,688
616,617,629
