id,x,y,z
591,-1.333975,-0.500000,0.000000
592,-1.492893,-0.707107,0.000000
593,-1.700000,-0.866025,0.000000
594,-1.941181,-0.965926,0.000000
595,-2.200000,-1.000000,0.000000
596,-2.458819,-0.965926,0.000000
597,-2.700000,-0.866025,0.000000
598,-2.907107,-0.707107,0.000000
599,-3.066025,-0.500000,0.000000
600,-3.165926,-0.258819,0.000000
601,-3.172624,0.000000,-0.417684
602,-3.138841,0.258819,-0.413236
603,-3.039795,0.500000,-0.400197
604,-2.882236,0.707107,-0.379454
605,-2.676901,0.866025,-0.352421
606,-2.437784,0.965926,-0.320940
607,-2.181179,1.000000,-0.287158
608,-1.924574,0.965926,-0.253375
609,-1.685456,0.866025,-0.221895
610,-1.480121,0.707107,-0.194862
611,-1.322562,0.500000,-0.174119
612,-1.223516,0.258819,-0.161079
613,-1.189734,0.000000,-0.156631
614,-1.223516,-0.258819,-0.161079
615,-1.322562,-0.500000,-0.174119
616,-1.480121,-0.707107,-0.194862
617,-1.685456,-0.866025,-0.221895
618,-1.924574,-0.965926,-0.253375
619,-2.181179,-1.000000,-0.287158
620,-2.437784,-0.965926,-0.320940
621,-2.676901,-0.866025,-0.352421
622,-2.882236,-0.707107,-0.379454
623,-3.039795,-0.500000,-0.400197
624,-3.138841,-0.258819,-0.413236
625,-3.090963,0.000000,-0.828221
626,-3.058050,0.258819,-0.819402
627,-2.961553,0.500000,-0.793546
628,-2.808050,0.707107,-0.752415
629,-2.608000,0.866025,-0.698811
630,-2.375037,0.965926,-0.636389
631,-2.125037,1.000000,-0.569402
632,-1.875037,0.965926,-0.502415
633,-1.642074,0.866025,-0.439992
634,-1.442024,0.707107,-0.386389
635,-1.288521,0.500000,-0.345258
636,-1.192024,0.258819,-0.319402
637,-1.159111,0.000000,-0.310583
638,-1.192024,-0.258819,-0.319402
639,-1.288521,-0.500000,-0.345258
640,-1.442024,-0.707107,-0.386389
641,-1.642074,-0.866025,-0.439992
642,-1.875037,-0.965926,-0.502415
643,-2.125037,-1.000000,-0.569402
644,-2.375037,-0.965926,-0.636389
645,-2.608000,-0.866025,-0.698811
646,-2.808050,-0.707107,-0.752415
647,-2.961553,-0.500000,-0.793546
648,-3.058050,-0.258819,-0.819402
649,-2.956415,0.000000,-1.224587
650,-2.924934,0.258819,-1.211547
651,-2.832638,0.500000,-1.173317
652,-2.685816,0.707107,-1.112502
653,-2.494475,0.866025,-1.033245
654,-2.271653,0.965926,-0.940949
655,-2.032535,1.000000,-0.841904
656,-1.793417,0.965926,-0.742858
657,-1.570595,0.866025,-0.650562
658,-1.379253,0.707107,-0.571306
659,-1.232432,0.500000,-0.510490
660,-1.140136,0.258819,-0.472260
661,-1.108655,0.000000,-0.459220
662,-1.140136,-0.258819,-0.472260
663,-1.232432,-0.500000,-0.510490
664,-1.379253,-0.707107,-0.571306
665,-1.570595,-0.866025,-0.650562
666,-1.793417,-0.965926,-0.742858
667,-2.032535,-1.000000,-0.841904
668,-2.271653,-0.965926,-0.940949
669,-2.494475,-0.866025,-1.033245
670,-2.685816,-0.707107,-1.112502
671,-2.832638,-0.500000,-1.173317
672,-2.924934,-0.258819,-1.211547
673,-2.771281,0.000000,-1.600000
674,-2.741772,0.258819,-1.582963
675,-2.655256,0.500000,-1.533013
676,-2.517628,0.707107,-1.453553
677,-2.338269,0.866025,-1.350000
678,-2.129400,0.965926,-1.229410
679,-1.905256,1.000000,-1.100000
680,-1.681112,0.965926,-0.970590
681,-1.472243,0.866025,-0.850000
682,-1.292883,0.707107,-0.746447
683,-1.155256,0.500000,-0.666987
684,-1.068740,0.258819,-0.617037
685,-1.039230,0.000000,-0.600000
686,-1.068740,-0.258819,-0.617037
687,-1.155256,-0.500000,-0.666987
688,-1.292883,-0.707107,-0.746447
689,-1.472243,-0.866025,-0.850000
690,-1.681112,-0.965926,-0.970590
691,-1.905256,-1.000000,-1.100000
692,-2.129400,-0.965926,-1.229410
693,-2.338269,-0.866025,-1.350000
694,-2.517628,-0.707107,-1.453553
695,-2.655256,-0.500000,-1.533013
696,-2.741772,-0.258819,-1.582963
697,-2.538731,0.000000,-1.948037
698,-2.511698,0.258819,-1.927294
699,-2.432441,0.500000,-1.866478
700,-2.306363,0.707107,-1.769734
701,-2.142054,0.866025,-1.643656
702,-1.950712,0.965926,-1.496834
703,-1.745377,1.000000,-1.339275
704,-1.540042,0.965926,-1.181716
705,-1.348701,0.866025,-1.034894
706,-1.184392,0.707107,-0.908816
707,-1.058313,0.500000,-0.812072
708,-0.979057,0.258819,-0.751257
709,-0.952024,0.000000,-0.730514
710,-0.979057,-0.258819,-0.751257
711,-1.058313,-0.500000,-0.812072
712,-1.184392,-0.707107,-0.908816
713,-1.348701,-0.866025,-1.034894
714,-1.540042,-0.965926,-1.181716
715,-1.745377,-1.000000,-1.339275
716,-1.950712,-0.965926,-1.496834
717,-2.142054,-0.866025,-1.643656
718,-2.306363,-0.707107,-1.769734
719,-2.432441,-0.500000,-1.866478
720,-2.511698,-0.258819,-1.927294
721,-2.262742,0.000000,-2.262742
722,-2.238648,0.258819,-2.238648
723,-2.168007,0.500000,-2.168007
724,-2.055635,0.707107,-2.055635
725,-1.909188,0.866025,-1.909188
726,-1.738648,0.965926,-1.738648
727,-1.555635,1.000000,-1.555635
728,-1.372622,0.965926,-1.372622
729,-1.202082,0.866025,-1.202082
730,-1.055635,0.707107,-1.055635
731,-0.943262,0.500000,-0.943262
732,-0.872622,0.258819,-0.872622
733,-0.848528,0.000000,-0.848528
734,-0.872622,-0.258819,-0.872622
735,-0.943262,-0.500000,-0.943262
736,-1.055635,-0.707107,-1.055635
737,-1.202082,-0.866025,-1.202082
738,-1.372622,-0.965926,-1.372622
739,-1.555635,-1.000000,-1.555635
740,-1.738648,-0.965926,-1.738648
741,-1.909188,-0.866025,-1.909188
742,-2.055635,-0.707107,-2.055635
743,-2.168007,-0.500000,-2.168007
744,-2.238648,-0.258819,-2.238648
745,-1.948037,0.000000,-2.538731
746,-1.927294,0.258819,-2.511698
747,-1.866478,0.500000,-2.432441
748,-1.769734,0.707107,-2.306363
749,-1.643656,0.866025,-2.142054
750,-1.496834,0.965926,-1.950712
751,-1.339275,1.000000,-1.745377
752,-1.181716,0.965926,-1.540042
753,-1.034894,0.866025,-1.348701
754,-0.908816,0.707107,-1.184392
755,-0.812072,0.500000,-1.058313
756,-0.751257,0.258819,-0.979057
757,-0.730514,0.000000,-0.952024
758,-0.751257,-0.258819,-0.979057
759,-0.812072,-0.500000,-1.058313
760,-0.908816,-0.707107,-1.184392
761,-1.034894,-0.866025,-1.348701
762,-1.181716,-0.965926,-1.540042
763,-1.339275,-1.000000,-1.745377
764,-1.496834,-0.965926,-1.950712
765,-1.643656,-0.866025,-2.142054
